"total_cup_points","species","owner","country_of_origin","farm_name","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"90.58","Arabica","metad plc","Ethiopia","metad plc","NA","Washed / Wet","8.67","8.83","8.67","8.75","8.5","8.42",10,10,10,"8.75","0.12",0,0,"Green",1950,2200,2075
"89.92","Arabica","metad plc","Ethiopia","metad plc","Other","Washed / Wet","8.75","8.67","8.5","8.58","8.42","8.42",10,10,10,"8.58","0.12",0,0,"Green",1950,2200,2075
"89.75","Arabica","grounds for health admin","Guatemala","san marcos barrancas ""san cristobal cuch","Bourbon","NA","8.42","8.5","8.42","8.42","8.33","8.42",10,10,10,"9.25",0,0,0,"NA",1600,1800,1700
89,"Arabica","yidnekachew dabessa","Ethiopia","yidnekachew dabessa coffee plantation","NA","Natural / Dry","8.17","8.58","8.42","8.42","8.5","8.25",10,10,10,"8.67","0.11",0,0,"Green",1800,2200,2000
"88.83","Arabica","metad plc","Ethiopia","metad plc","Other","Washed / Wet","8.25","8.5","8.25","8.5","8.42","8.33",10,10,10,"8.58","0.12",0,0,"Green",1950,2200,2075
"88.83","Arabica","ji-ae ahn","Brazil","NA","NA","Natural / Dry","8.58","8.42","8.42","8.5","8.25","8.33",10,10,10,"8.33","0.11",0,0,"Bluish-Green","NA","NA","NA"
"88.75","Arabica","hugo valdivia","Peru","NA","Other","Washed / Wet","8.42","8.5","8.33","8.5","8.25","8.25",10,10,10,"8.5","0.11",0,0,"Bluish-Green","NA","NA","NA"
"88.67","Arabica","ethiopia commodity exchange","Ethiopia","aolme","NA","NA","8.25","8.33","8.5","8.42","8.33","8.5",10,10,"9.33",9,"0.03",0,0,"NA",1570,1700,1635
"88.42","Arabica","ethiopia commodity exchange","Ethiopia","aolme","NA","NA","8.67","8.67","8.58","8.42","8.33","8.42","9.33",10,"9.33","8.67","0.03",0,0,"NA",1570,1700,1635
"88.25","Arabica","diamond enterprise plc","Ethiopia","tulla coffee farm","Other","Natural / Dry","8.08","8.58","8.5","8.5","7.67","8.42",10,10,10,"8.5","0.1",0,0,"Green",1795,1850,"1822.5"
"88.08","Arabica","mohammed lalo","Ethiopia","fahem coffee plantation","NA","Natural / Dry","8.17","8.67","8.25","8.5","7.75","8.17",10,10,10,"8.58","0.1",0,0,"NA",1855,1955,1905
"87.92","Arabica","cqi q coffee sample representative","United States","el filo","Other","Washed / Wet","8.25","8.42","8.17","8.33","8.08","8.17",10,10,10,"8.5",0,0,0,"NA",1872,1872,1872
"87.92","Arabica","cqi q coffee sample representative","United States","los cedros","Other","Washed / Wet","8.08","8.67","8.33","8.42",8,"8.08",10,10,10,"8.33",0,0,0,"NA",1943,1943,1943
"87.92","Arabica","grounds for health admin","United States (Hawaii)","arianna farms","NA","NA","8.33","8.42","8.08","8.25","8.25",8,10,10,10,"8.58",0,0,0,"NA","609.6","609.6","609.6"
"87.83","Arabica","ethiopia commodity exchange","Ethiopia","aolme","NA","NA","8.25","8.33","8.5","8.25","8.58","8.75","9.33",10,"9.33","8.5","0.05",0,0,"NA",1570,1700,1635
"87.58","Arabica","cqi q coffee sample representative","United States","el águila","Other","Washed / Wet",8,"8.5","8.58","8.17","8.17",8,10,10,10,"8.17",0,0,0,"NA",2080,2080,2080
"87.42","Arabica","grounds for health admin","Indonesia","toarco jaya","NA","NA","8.33","8.25","7.83","7.75","8.5","8.42",10,10,10,"8.33","0.03",0,0,"NA",1200,1800,1500
"87.33","Arabica","ethiopia commodity exchange","Ethiopia","NA","NA","NA","8.17","8.33","8.25","8.33","8.42","8.33","9.33",10,"9.33","8.83","0.05",0,0,"NA","NA","NA","NA"
"87.25","Arabica","yunnan coffee exchange","China","echo coffee","Catimor","Washed / Wet","8.42","8.25","8.08","8.17","7.92",8,10,10,10,"8.42","0.1",0,0,"Green",1450,1450,1450
"87.25","Arabica","essencecoffee","Ethiopia","drima zede","Ethiopian Yirgacheffe","Natural / Dry","8.17","8.17",8,"8.17","8.08","8.33",10,10,10,"8.33",0,0,0,"NA",1700,2000,1850
"87.25","Arabica","cqi q coffee sample representative","United States","el rodeo","Other","Washed / Wet",8,"8.25","8.08","8.5","8.25",8,10,10,10,"8.17",0,0,0,"None",2019,2019,2019
"87.17","Arabica","the coffee source inc.","Costa Rica","several","Caturra","Washed / Wet","8.08","8.25",8,"8.17",8,"8.33",10,10,10,"8.33","0.11",0,0,"Green",1300,1300,1300
"87.17","Arabica","roberto licona franco","Mexico","la herradura","Other","Washed / Wet","8.17","8.25","8.17",8,"7.83","8.17",10,10,10,"8.58","0.13",0,0,"Green",1320,1320,1320
"87.08","Arabica","cqi q coffee sample representative","United States","la curva","Other","Washed / Wet","8.25","8.33","8.17","8.17","7.83","8.17",10,10,10,"8.17",0,0,0,"NA",2112,2112,2112
"87.08","Arabica","ji-ae ahn","Ethiopia","NA","NA","Natural / Dry","8.42","8.17","7.92","8.17","8.33",8,10,10,10,"8.08","0.11",0,0,"Bluish-Green","NA","NA","NA"
"86.92","Arabica","nucoffee","Brazil","fazenda kaquend","Bourbon","Natural / Dry","8.5","8.5",8,8,8,8,10,10,10,"7.92","0.12",0,0,"Green",1250,1250,1250
"86.92","Arabica","ethiopia commodity exchange","Ethiopia","NA","NA","NA","7.83","8.25","8.08","8.17","8.17","8.17",10,10,10,"8.25","0.05",0,0,"NA","NA","NA","NA"
"86.83","Arabica","kabum trading company","Uganda","chebonet (23) women coffee","SL14","Washed / Wet","8.42","8.17","8.17","8.17","7.83","7.92",10,10,10,"8.17","0.12",0,0,"Green",1950,1950,1950
"86.67","Arabica","bismarck castro","Honduras","los hicaques","Caturra","NA","8.17","8.08","8.08",8,"8.08",8,10,10,10,"8.25","0.1",0,0,"Green",1400,1400,1400
"86.58","Arabica","lin, che-hao krude 林哲豪","Taiwan","tsoustructive garden 鄒築園","Sumatra","Pulped natural / honey",8,8,8,"8.25",8,"8.17",10,10,10,"8.17",0,0,0,"Green",1200,1200,1200
"86.58","Arabica","nora zeas","Nicaragua","NA","NA","NA","7.92","8.25",8,"8.33",8,"8.08",10,10,10,8,"0.08",0,0,"NA","NA","NA","NA"
