"zone";"caste";"gender";"score_w_equip";"score_e_equip"
"Khumbu";"Sherpa";"female";4;7
"Khumbu";"Sherpa";"female";4;16
"Khumbu";"Rai";"female";4;10
"Khumbu";"Sherpa";"male";4;14
"Khumbu";"Sherpa";"female";4;13
"Khumbu";"Sherpa";"male";4;12
"Khumbu";"Sherpa";"male";4;9
"Khumbu";"Sherpa";"female";4;9
"Khumbu";"Sherpa";"female";3;12
"Khumbu";"Tamang";"male";4;14
"Solu";"Magar";;4;2
"Khumbu";"Sherpa";"female";0;9
"Khumbu";"Sherpa";"male";4;7
"Solu";"Sherpa";;4;2
"Solu";"Magar";;4;2
"Khumbu";"Rai";"male";4;10
"Khumbu";"Sherpa";"male";4;10
"Khumbu";"Sherpa";"female";3;4
"Khumbu";"Magar";"male";3;9
"Khumbu";"Sherpa";"female";4;9
"Khumbu";"Sherpa";"male";4;18
"Solu";"Magar";;3;3
"Khumbu";"Sherpa";"male";3;11
"Khumbu";"Sherpa";"male";3;11
"Pharak";"Rai";;3;6
"Pharak";"Sherpa";;3;2
"Khumbu";"Sherpa";"female";3;13
"Khumbu";"Magar";"male";3;8
"Solu";"Sherpa";;4;2
"Khumbu";"Sherpa";"female";4;11
"Khumbu";"Sherpa";"male";3;12
"Khumbu";"Sherpa";"female";5;12
"Khumbu";"Sherpa";"male";3;14
"Khumbu";"Magar";"male";3;7
"Khumbu";"Sherpa";"female";3;10
"Khumbu";"Sherpa";"male";4;13
"Khumbu";"Tamang";"male";4;15
"Khumbu";"Tamang";"male";4;9
"Khumbu";;"male";4;10
"Khumbu";"Tamang";"male";4;9
"Khumbu";"Sherpa";"male";4;9
"Khumbu";"Sherpa";"male";4;18
"Khumbu";"Sherpa";"female";4;12
"Khumbu";"Sherpa";"female";4;13
"Khumbu";"Sherpa";"male";4;4
"Khumbu";"Newar";"female";4;14
"Khumbu";"Tamang";"male";4;16
"Khumbu";"Sherpa";"male";4;15
"Khumbu";"Sherpa";"male";4;17
"Khumbu";"Sherpa";"male";4;15
"Khumbu";"Sherpa";"male";4;14
"Khumbu";"Sherpa";"male";4;21
"Khumbu";"Tamang";"male";4;7
"Pharak";"Sherpa";;3;9
"Khumbu";"Sherpa";"female";4;15
"Khumbu";"Sherpa";"male";4;16
"Khumbu";"Sherpa";"female";4;16
"Pharak";"Magar";;3;7
"Pharak";"Sherpa";;3;11
"Khumbu";"Sherpa";"male";4;19
"Pharak";"Sherpa";;3;8
"Pharak";"Sherpa";;2;4
"Pharak";"Sherpa";;3;12
"Pharak";"Sherpa";;3;10
"Khumbu";"Bahun-Chetri";"male";4;17
"Pharak";"Sherpa";;2;5
"Khumbu";"Tamang";"male";4;7
"Solu";"Magar";;3;2
"Khumbu";"Sherpa";"female";4;9
"Khumbu";"Sherpa";"male";4;7
"Pharak";"Sherpa";;3;11
"Pharak";"Sherpa";;3;8
"Pharak";"Sherpa";;3;4
"Khumbu";"Sherpa";"female";4;10
"Pharak";"Sherpa";;3;8
"Pharak";"Sherpa";;4;8
"Pharak";"Sherpa";;3;12
"Pharak";"Rai";;4;6
"Pharak";"Sherpa";;4;17
"Pharak";"Sherpa";;4;9
"Pharak";"Sherpa";;3;7
"Pharak";"Sherpa";;4;7
"Pharak";"Rai";"female";2;7
