"Communes";"Codes_Insee";"CUB";"Nb_foyer_fiscal";"Nb_foyer_allocataires";"Foyer_revenu_+50pourc_caf";"pourc_Foyer_revenu_+50pourc_caf";"Foyer_caf_bas_revenu";"pourc_part_foyer_bas_revenu";"Pers_bas_revenu";"NB_pers_couv_ress";"NB_allocataires_ress"
"ABZAC";33001;"NON";1075;303;68;"6.32558139534884";105;"9.76744186046512";251;686;248
"AILLAS";33002;"NON";474;106;23;"4.85232067510549";36;"7.59493670886076";79;234;82
"AMBARES-ET-LAGRAVE";33003;"OUI";8101;2921;733;"9.04826564621652";1027;"12.6774472287372";2689;7182;2412
"AMBES";33004;"OUI";1753;600;156;"8.89903023388477";220;"12.5499144324016";569;1453;505
"ANDERNOS-LES-BAINS";33005;"NON";7218;1401;295;"4.08700471044611";467;"6.46993627043502";888;2541;1006
"ANGLADE";33006;"NON";507;111;36;"7.10059171597633";49;"9.66469428007889";117;266;95
"ARBANATS";33007;"NON";605;159;13;"2.14876033057851";31;"5.12396694214876";81;441;132
"ARBIS";33008;"NON";145;38;6;"4.13793103448276";11;"7.58620689655172";33;96;28
"ARCACHON";33009;"NON";8460;1700;474;"5.60283687943262";669;"7.90780141843972";1183;2318;1174
"ARCINS";33010;"NON";230;54;5;"2.17391304347826";11;"4.78260869565217";27;142;43
"ARES";33011;"NON";3952;791;132;"3.34008097165992";215;"5.44028340080972";438;1576;586
"ARSAC";33012;"NON";1722;423;36;"2.09059233449477";65;"3.7746806039489";160;897;267
"ARTIGUES-PRES-BORDEAUX";33013;"OUI";4454;1314;253;"5.68028738212842";390;"8.75617422541536";904;3063;1076
"LES ARTIGUES-DE-LUSSAC";33014;"NON";598;144;19;"3.17725752508361";30;"5.01672240802676";67;344;111
"ARVEYRES";33015;"NON";1100;272;64;"5.81818181818182";80;"7.27272727272727";164;602;206
"ASQUES";33016;"NON";251;59;7;"2.78884462151394";13;"5.1792828685259";29;140;44
"AUBIAC";33017;"NON";142;33;0;0;11;"7.74647887323944";28;88;28
"AUBIE-ET-ESPESSAS";33018;"NON";659;188;26;"3.9453717754173";52;"7.8907435508346";127;474;151
"AUDENGE";33019;"NON";4253;1135;189;"4.44392193745591";320;"7.52410063484599";745;2483;886
"AURIOLLES";33020;"NON";72;13;0;0;;0;;;6
"AUROS";33021;"NON";565;152;23;"4.07079646017699";32;"5.66371681415929";86;382;123
"AVENSAN";33022;"NON";1413;355;31;"2.19391365888181";62;"4.38782731776362";169;977;284
"AYGUEMORTE-LES-GRAVES";33023;"NON";601;151;15;"2.49584026622296";31;"5.15806988352745";75;362;114
"BAGAS";33024;"NON";139;45;0;0;11;"7.9136690647482";20;107;34
"BAIGNEAUX";33025;"NON";193;63;6;"3.10880829015544";12;"6.21761658031088";26;156;46
"BALIZAC";33026;"NON";259;79;5;"1.93050193050193";18;"6.94980694980695";46;211;66
"BARIE";33027;"NON";159;39;0;0;19;"11.9496855345912";49;98;32
"BARON";33028;"NON";573;184;29;"5.06108202443281";47;"8.20244328097731";108;473;144
"LE BARP";33029;"NON";2619;841;96;"3.66552119129439";140;"5.34555173730432";337;2081;650
"BARSAC";33030;"NON";1209;295;73;"6.03804797353184";108;"8.93300248138958";234;694;249
"BASSANNE";33031;"NON";53;13;0;0;;0;;37;10
"BASSENS";33032;"OUI";3982;1350;325;"8.16172777498744";510;"12.8076343545957";1248;2953;1060
"BAURECH";33033;"NON";439;101;12;"2.73348519362187";22;"5.01138952164009";57;240;74
"BAYAS";33034;"NON";251;58;15;"5.97609561752988";21;"8.36653386454183";46;124;47
"BAYON-SUR-GIRONDE";33035;"NON";428;93;20;"4.67289719626168";38;"8.8785046728972";97;223;78
"BAZAS";33036;"NON";2871;865;238;"8.28979449669105";334;"11.6335771508185";729;1608;651
"BEAUTIRAN";33037;"NON";1164;292;43;"3.69415807560137";72;"6.18556701030928";173;671;213
"BEGADAN";33038;"NON";559;86;24;"4.29338103756708";37;"6.61896243291592";84;204;73
"BEGLES";33039;"OUI";15779;5270;1230;"7.79517079662843";1838;"11.6483934343114";3856;9549;3973
"BEGUEY";33040;"NON";648;187;41;"6.32716049382716";61;"9.41358024691358";149;435;154
"BELIN-BELIET";33042;"NON";2684;820;127;"4.7317436661699";224;"8.34575260804769";558;2070;655
"BELLEBAT";33043;"NON";126;29;0;0;8;"6.34920634920635";26;82;25
"BELLEFOND";33044;"NON";142;34;0;0;13;"9.15492957746479";23;68;27
"BELVES-DE-CASTILLON";33045;"NON";178;34;0;0;7;"3.93258426966292";23;81;26
"BERNOS-BEAULAC";33046;"NON";628;148;33;"5.25477707006369";57;"9.07643312101911";156;354;121
"BERSON";33047;"NON";964;222;35;"3.63070539419087";65;"6.74273858921162";175;550;177
"BERTHEZ";33048;"NON";126;25;0;0;5;"3.96825396825397";;57;18
"BEYCHAC-ET-CAILLAU";33049;"NON";1125;271;34;"3.02222222222222";67;"5.95555555555556";162;666;216
"BIEUJAC";33050;"NON";274;79;21;"7.66423357664234";30;"10.9489051094891";99;210;62
"BIGANOS";33051;"NON";5645;1522;250;"4.42869796279894";427;"7.56421612046058";936;3557;1219
"LES BILLAUX";33052;"NON";637;153;22;"3.45368916797488";39;"6.12244897959184";93;375;122
"BIRAC";33053;"NON";117;23;0;0;10;"8.54700854700855";24;58;18
"BLAIGNAC";33054;"NON";155;32;0;0;5;"3.2258064516129";;73;21
"BLAIGNAN";33055;"NON";145;26;0;0;9;"6.20689655172414";;52;20
"BLANQUEFORT";33056;"OUI";8304;2546;528;"6.35838150289017";752;"9.05587668593449";1664;4831;1813
"BLASIMON";33057;"NON";517;99;31;"5.99613152804642";41;"7.93036750483559";97;221;81
"BLAYE";33058;"NON";3065;1162;370;"12.0717781402936";475;"15.4975530179445";1027;2061;869
"BLESIGNAC";33059;"NON";141;45;0;0;8;"5.67375886524823";20;102;32
"BOMMES";33060;"NON";259;61;5;"1.93050193050193";16;"6.17760617760618";42;131;43
"BONNETAN";33061;"NON";450;116;10;"2.22222222222222";25;"5.55555555555556";59;268;82
"BONZAC";33062;"NON";412;106;20;"4.85436893203883";32;"7.76699029126214";70;233;77
"BORDEAUX";33063;"OUI";143374;73846;18347;"12.7966018943463";24095;"16.8056969882963";41849;86710;43040
"BOSSUGAN";33064;"NON";26;0;0;0;;0;;;
"BOULIAC";33065;"OUI";1658;370;44;"2.65379975874548";73;"4.40289505428227";143;751;238
"BOURDELLES";33066;"NON";67;12;5;"7.46268656716418";;0;;36;11
"BOURG";33067;"NON";1310;430;119;"9.08396946564885";181;"13.8167938931298";418;853;338
"BOURIDEYS";33068;"NON";44;12;0;0;;0;;23;9
"LE BOUSCAT";33069;"OUI";14047;3938;810;"5.76635580551007";1212;"8.62817683491137";2448;7101;2851
"BRACH";33070;"NON";266;84;5;"1.8796992481203";14;"5.26315789473684";36;265;75
"BRANNE";33071;"NON";747;230;45;"6.02409638554217";65;"8.70147255689424";173;484;163
"BRANNENS";33072;"NON";101;30;0;0;9;"8.91089108910891";34;101;26
"BRAUD-ET-SAINT-LOUIS";33073;"NON";897;265;97;"10.8138238573021";116;"12.9319955406912";233;546;214
"BROUQUEYRAN";33074;"NON";100;24;0;0;8;8;25;61;18
"BRUGES";33075;"OUI";9768;2778;448;"4.58640458640459";699;"7.15601965601966";1350;5443;2103
"BUDOS";33076;"NON";425;85;0;0;15;"3.52941176470588";32;219;69
"CABANAC-ET-VILLAGRAINS";33077;"NON";1108;346;30;"2.70758122743682";60;"5.41516245487365";154;890;271
"CABARA";33078;"NON";238;55;0;0;12;"5.04201680672269";32;162;45
"CADARSAC";33079;"NON";169;34;0;0;;0;;89;27
"CADAUJAC";33080;"NON";3290;805;107;"3.25227963525836";200;"6.0790273556231";446;1827;627
"CADILLAC";33081;"NON";1687;666;273;"16.1825726141079";299;"17.7237700059277";552;1189;555
"CADILLAC-EN-FRONSADAIS";33082;"NON";643;192;17;"2.64385692068429";42;"6.53188180404355";104;480;153
"CAMARSAC";33083;"NON";484;119;8;"1.65289256198347";29;"5.99173553719008";72;273;85
"CAMBES";33084;"NON";762;198;29;"3.80577427821522";51;"6.69291338582677";113;409;142
"CAMBLANES-ET-MEYNAC";33085;"NON";1480;422;77;"5.2027027027027";80;"5.40540540540541";173;854;311
"CAMIAC-ET-SAINT-DENIS";33086;"NON";182;57;0;0;8;"4.3956043956044";25;128;39
"CAMIRAN";33087;"NON";249;52;6;"2.40963855421687";20;"8.03212851405623";42;112;43
"CAMPS-SUR-L'ISLE";33088;"NON";313;88;27;"8.62619808306709";39;"12.4600638977636";122;249;76
"CAMPUGNAN";33089;"NON";282;74;21;"7.4468085106383";29;"10.2836879432624";73;182;62
"CANEJAN";33090;"NON";2770;855;110;"3.97111913357401";183;"6.60649819494585";322;1296;495
"CANTENAC";33091;"NON";728;171;26;"3.57142857142857";45;"6.18131868131868";115;458;140
"CANTOIS";33092;"NON";116;23;0;0;;0;;63;17
"CAPIAN";33093;"NON";383;72;7;"1.82767624020888";15;"3.91644908616188";30;151;52
"CAPLONG";33094;"NON";132;26;0;0;11;"8.33333333333333";21;47;19
"CAPTIEUX";33095;"NON";835;162;39;"4.67065868263473";62;"7.4251497005988";164;344;121
"CARBON-BLANC";33096;"OUI";4024;1115;200;"4.97017892644135";340;"8.4493041749503";845;2519;855
"CARCANS";33097;"NON";1537;330;62;"4.03383214053351";107;"6.96161353285621";222;823;284
"CARDAN";33098;"NON";268;59;7;"2.61194029850746";17;"6.34328358208955";46;164;52
"CARIGNAN-DE-BORDEAUX";33099;"NON";1980;564;100;"5.05050505050505";103;"5.2020202020202";233;1124;390
"CARS";33100;"NON";639;145;30;"4.69483568075117";47;"7.35524256651017";112;382;125
"CARTELEGUE";33101;"NON";667;190;51;"7.64617691154423";70;"10.4947526236882";189;499;160
"CASSEUIL";33102;"NON";236;42;6;"2.54237288135593";17;"7.20338983050848";50;120;39
"CASTELMORON-D'ALBRET";33103;"NON";30;10;0;0;;0;;;8
"CASTELNAU-DE-MEDOC";33104;"NON";2461;727;125;"5.07923608289313";199;"8.08614384396587";489;1774;592
"CASTELVIEL";33105;"NON";103;15;0;0;;0;;46;13
"CASTETS-EN-DORTHE";33106;"NON";675;189;38;"5.62962962962963";62;"9.18518518518519";137;461;157
"CASTILLON-DE-CASTETS";33107;"NON";145;51;7;"4.82758620689655";17;"11.7241379310345";50;136;40
"CASTILLON-LA-BATAILLE";33108;"NON";1989;691;295;"14.8315736551031";340;"17.0940170940171";760;1176;518
"CASTRES-GIRONDE";33109;"NON";1109;312;20;"1.8034265103697";56;"5.04959422903517";133;737;225
"CAUDROT";33111;"NON";674;197;44;"6.52818991097923";65;"9.64391691394659";173;460;151
"CAUMONT";33112;"NON";85;24;7;"8.23529411764706";;0;38;47;20
"CAUVIGNAC";33113;"NON";71;19;0;0;;0;;57;16
"CAVIGNAC";33114;"NON";1033;383;89;"8.61568247821878";150;"14.5208131655373";365;911;333
"CAZALIS";33115;"NON";146;27;6;"4.10958904109589";11;"7.53424657534247";23;64;26
"CAZATS";33116;"NON";194;48;0;0;9;"4.63917525773196";20;125;37
"CAZAUGITAT";33117;"NON";130;20;0;0;9;"6.92307692307692";27;47;15
"CENAC";33118;"NON";930;201;24;"2.58064516129032";46;"4.94623655913979";105;413;127
"CENON";33119;"OUI";13173;5798;1980;"15.0307447050786";2636;"20.0106277992864";6443;11290;4477
"CERONS";33120;"NON";1122;351;41;"3.6541889483066";86;"7.66488413547237";229;892;274
"CESSAC";33121;"NON";113;22;0;0;7;"6.19469026548673";;63;19
"CESTAS";33122;"NON";8980;1926;228;"2.53897550111359";347;"3.8641425389755";751;3546;1189
"CEZAC";33123;"NON";1306;394;55;"4.21133231240429";100;"7.65696784073507";264;1147;350
"CHAMADELLE";33124;"NON";355;88;19;"5.35211267605634";28;"7.88732394366197";77;210;67
"CISSAC-MEDOC";33125;"NON";1100;247;55;5;79;"7.18181818181818";199;649;209
"CIVRAC-DE-BLAYE";33126;"NON";411;109;21;"5.10948905109489";29;"7.05596107055961";77;298;87
"CIVRAC-SUR-DORDOGNE";33127;"NON";135;23;0;0;7;"5.18518518518519";20;58;18
"CIVRAC-EN-MEDOC";33128;"NON";358;70;13;"3.63128491620112";22;"6.14525139664804";48;169;58
"CLEYRAC";33129;"NON";92;20;0;0;5;"5.43478260869565";;48;17
"COIMERES";33130;"NON";493;132;17;"3.44827586206897";33;"6.69371196754564";100;337;101
"COIRAC";33131;"NON";115;20;0;0;6;"5.21739130434783";;51;17
"COMPS";33132;"NON";268;69;15;"5.59701492537313";25;"9.32835820895522";49;186;61
"COUBEYRAC";33133;"NON";49;0;0;0;;0;;;
"COUQUEQUES";33134;"NON";142;29;0;0;7;"4.92957746478873";26;89;25
"COURPIAC";33135;"NON";71;15;0;0;;0;;38;14
"COURS-DE-MONSEGUR";33136;"NON";144;34;5;"3.47222222222222";12;"8.33333333333333";25;88;29
"COURS-LES-BAINS";33137;"NON";117;23;0;0;6;"5.12820512820513";;56;19
"COUTRAS";33138;"NON";4964;1583;487;"9.81063658340048";675;"13.5979049153908";1619;3369;1278
"COUTURES";33139;"NON";43;10;0;0;;0;;33;9
"CREON";33140;"NON";2551;877;122;"4.78243825950608";239;"9.36887495099961";537;1739;636
"CROIGNON";33141;"NON";288;68;0;0;14;"4.86111111111111";44;177;50
"CUBNEZAIS";33142;"NON";737;209;35;"4.74898236092266";55;"7.46268656716418";145;566;172
"CUBZAC-LES-PONTS";33143;"NON";1319;405;82;"6.21683093252464";128;"9.70432145564822";327;1019;345
"CUDOS";33144;"NON";425;122;25;"5.88235294117647";43;"10.1176470588235";121;301;96
"CURSAN";33145;"NON";302;72;0;0;9;"2.98013245033113";20;226;61
"CUSSAC-FORT-MEDOC";33146;"NON";1071;329;53;"4.94864612511671";83;"7.74976657329599";206;926;275
"DAIGNAC";33147;"NON";243;63;6;"2.46913580246914";13;"5.34979423868313";25;146;48
"DARDENAC";33148;"NON";50;12;0;0;;0;;26;9
"DAUBEZE";33149;"NON";79;20;0;0;6;"7.59493670886076";;48;15
"DIEULIVOL";33150;"NON";150;17;0;0;7;"4.66666666666667";;48;16
"DONNEZAC";33151;"NON";502;126;31;"6.17529880478088";51;"10.1593625498008";133;341;110
"DONZAC";33152;"NON";71;11;0;0;;0;;36;10
"DOULEZON";33153;"NON";162;35;6;"3.7037037037037";14;"8.64197530864197";31;77;28
"LES EGLISOTTES-ET-CHALAURES";33154;"NON";1173;380;169;"14.4075021312873";216;"18.4143222506394";627;1018;338
"ESCAUDES";33155;"NON";103;16;0;0;7;"6.79611650485437";;34;15
"ESCOUSSANS";33156;"NON";171;42;0;0;10;"5.84795321637427";27;104;30
"ESPIET";33157;"NON";356;94;7;"1.96629213483146";18;"5.0561797752809";34;273;76
"LES ESSEINTES";33158;"NON";136;21;0;0;;0;;58;19
"ETAULIERS";33159;"NON";903;243;79;"8.74861572535991";97;"10.7419712070875";209;536;205
"EYNESSE";33160;"NON";320;64;21;"6.5625";32;10;76;151;56
"EYRANS";33161;"NON";428;118;24;"5.60747663551402";46;"10.7476635514019";105;290;103
"EYSINES";33162;"OUI";12415;3857;892;"7.18485702778897";1298;"10.4550946435763";2876;7653;2990
"FALEYRAS";33163;"NON";232;51;12;"5.17241379310345";15;"6.46551724137931";34;129;41
"FARGUES";33164;"NON";926;210;43;"4.64362850971922";71;"7.66738660907127";180;521;170
"FARGUES-SAINT-HILAIRE";33165;"NON";1610;391;48;"2.98136645962733";89;"5.52795031055901";195;760;273
"LE FIEU";33166;"NON";279;70;6;"2.1505376344086";23;"8.24372759856631";60;190;60
"FLOIRAC";33167;"OUI";9706;3691;1103;"11.3641046775191";1520;"15.6604162373789";3585;7821;3025
"FLAUJAGUES";33168;"NON";350;68;19;"5.42857142857143";30;"8.57142857142857";77;174;63
"FLOUDES";33169;"NON";50;8;0;0;;0;;25;7
"FONTET";33170;"NON";404;103;24;"5.94059405940594";39;"9.65346534653465";109;261;79
"FOSSES-ET-BALEYSSAC";33171;"NON";122;13;0;0;;0;;33;10
"FOURS";33172;"NON";162;36;7;"4.32098765432099";12;"7.40740740740741";28;94;31
"FRANCS";33173;"NON";110;19;0;0;9;"8.18181818181818";;43;16
"FRONSAC";33174;"NON";657;134;22;"3.34855403348554";49;"7.45814307458143";121;294;103
"FRONTENAC";33175;"NON";415;111;18;"4.33734939759036";36;"8.67469879518072";98;309;94
"GABARNAC";33176;"NON";185;35;0;0;11;"5.94594594594595";26;83;29
"GAILLAN-EN-MEDOC";33177;"NON";1337;261;70;"5.23560209424084";111;"8.30216903515333";279;664;223
"GAJAC";33178;"NON";244;54;7;"2.86885245901639";25;"10.2459016393443";69;137;44
"GALGON";33179;"NON";1652;402;66;"3.99515738498789";116;"7.02179176755448";299;1012;331
"GANS";33180;"NON";107;16;0;0;7;"6.54205607476635";;26;12
"GARDEGAN-ET-TOURTIRAC";33181;"NON";165;32;0;0;8;"4.84848484848485";24;78;25
"GAURIAC";33182;"NON";460;98;25;"5.43478260869565";32;"6.95652173913043";81;243;82
"GAURIAGUET";33183;"NON";574;169;16;"2.78745644599303";42;"7.31707317073171";114;491;140
"GENERAC";33184;"NON";320;68;11;"3.4375";15;"4.6875";40;171;51
"GENISSAC";33185;"NON";987;268;42;"4.25531914893617";69;"6.99088145896657";180;577;189
"GENSAC";33186;"NON";486;105;30;"6.17283950617284";45;"9.25925925925926";108;224;82
"GIRONDE-SUR-DROPT";33187;"NON";754;206;57;"7.55968169761273";86;"11.4058355437666";203;447;169
"GISCOS";33188;"NON";111;22;0;0;;0;;52;16
"GORNAC";33189;"NON";225;53;0;0;16;"7.11111111111111";42;144;47
"GOUALADE";33190;"NON";52;12;0;0;;0;;34;10
"GOURS";33191;"NON";274;63;9;"3.28467153284672";21;"7.66423357664234";59;180;55
"GRADIGNAN";33192;"OUI";13408;4842;878;"6.54832935560859";1310;"9.77028639618138";2535;6834;2879
"GRAYAN-ET-L'HOPITAL";33193;"NON";868;148;40;"4.60829493087558";70;"8.06451612903226";157;358;128
"GREZILLAC";33194;"NON";382;72;5;"1.30890052356021";15;"3.92670157068063";40;157;48
"GRIGNOLS";33195;"NON";694;168;51;"7.34870317002882";67;"9.65417867435158";158;305;116
"GUILLAC";33196;"NON";95;14;0;0;;0;;35;11
"GUILLOS";33197;"NON";238;61;11;"4.6218487394958";21;"8.82352941176471";60;166;50
"GUITRES";33198;"NON";942;336;97;"10.2972399150743";140;"14.8619957537155";331;754;275
"GUJAN-MESTRAS";33199;"NON";12171;2894;605;"4.97083230630187";981;"8.06014296278038";2065;5856;2262
"LE HAILLAN";33200;"OUI";5765;1616;302;"5.23850823937554";472;"8.18733738074588";1011;3328;1250
"HAUX";33201;"NON";441;101;16;"3.6281179138322";28;"6.34920634920635";66;232;81
"HOSTENS";33202;"NON";728;239;50;"6.86813186813187";78;"10.7142857142857";182;628;202
"HOURTIN";33203;"NON";2152;516;120;"5.57620817843866";200;"9.29368029739777";463;1185;430
"HURE";33204;"NON";291;62;5;"1.71821305841924";16;"5.49828178694158";42;144;47
"ILLATS";33205;"NON";777;186;21;"2.7027027027027";38;"4.89060489060489";84;475;146
"ISLE-SAINT-GEORGES";33206;"NON";315;61;6;"1.90476190476191";18;"5.71428571428571";40;140;48
"IZON";33207;"NON";2715;788;81;"2.98342541436464";176;"6.48250460405157";481;2019;594
"JAU-DIGNAC-ET-LOIRAC";33208;"NON";621;104;32;"5.15297906602254";43;"6.92431561996779";108;230;82
"JUGAZAN";33209;"NON";155;38;0;0;9;"5.80645161290323";25;95;28
